instance,representation,atoms,n_paths,solver,restricted_optimum,representation_gap_pct,time_to_target_s,iterations,demand_residual,min_path_flow
controlled_K512,C,32,2048,PG,57777.40848973936,6.233365281468824,0.003875099995639175,8,2.2737367544323206e-13,0.0
controlled_K512,RC,32,2048,FW,55393.69563689039,1.850513145277779,44.56581269996241,22733,2.8421709430404007e-12,3.1470829109809e-08
controlled_K512,RC,32,2048,PG,55393.69563689039,1.850513145277779,0.0063513999921269715,13,0.0,0.0
controlled_K512,speedup_E_over_C,,2048,FW,,,19225.01382639395,,,
controlled_K512,speedup_E_over_RC,,2048,FW,,,1.2375998362549336,,,
controlled_K512,speedup_E_over_C,,2048,PG,,,4.011922273643421,,,
controlled_K512,speedup_E_over_RC,,2048,PG,,,2.447743805203811,,,
sioux-falls_K32,E,192,192,FW,9.145597596474587,0.0,0.0007191000040620565,2,0.0,0.0
sioux-falls_K32,E,192,192,PG,9.145597596474587,0.0,0.002597399987280369,4,1.1102230246251565e-16,0.0
sioux-falls_K32,C,48,192,FW,9.14559759647459,1.942308111265462e-14,9.550002869218588e-05,2,1.1102230246251565e-16,0.0
sioux-falls_K32,C,48,192,PG,9.14559759647459,1.942308111265462e-14,0.0007588000153191388,3,2.220446049250313e-16,0.0
sioux-falls_K32,RC,48,192,FW,9.14559759647459,1.942308111265462e-14,8.220004383474588e-05,2,1.1102230246251565e-16,0.0
sioux-falls_K32,RC,48,192,PG,9.14559759647459,1.942308111265462e-14,0.00023220002185553312,3,1.1102230246251565e-16,0.0
sioux-falls_K32,speedup_E_over_C,,192,FW,,,7.529840712193374,,,
sioux-falls_K32,speedup_E_over_RC,,192,FW,,,8.748170566766701,,,
sioux-falls_K32,speedup_E_over_C,,192,PG,,,3.423036287351609,,,
sioux-falls_K32,speedup_E_over_RC,,192,PG,,,11.18604540397667,,,
chicago-sketch_K32,E,192,192,FW,9.554789585216652,0.0,0.023866500006988645,19,1.1102230246251565e-16,0.0
chicago-sketch_K32,E,192,192,PG,9.554789585216652,0.0,0.005113399995025247,8,3.3306690738754696e-16,0.0
chicago-sketch_K32,C,48,192,FW,23.866981059165273,149.79075516317712,0.0009048000210896134,2,2.220446049250313e-16,0.0
chicago-sketch_K32,C,48,192,PG,23.866981059165273,149.79075516317712,0.001782699953764677,3,4.440892098500626e-16,0.0
chicago-sketch_K32,RC,48,192,FW,9.605575506848066,0.5315231819441747,0.0007853999850340188,2,1.1102230246251565e-16,0.0
chicago-sketch_K32,RC,48,192,PG,9.605575506848066,0.5315231819441747,0.0016988000134006143,3,3.3306690738754696e-16,0.0
chicago-sketch_K32,speedup_E_over_C,,192,FW,,,26.377651912791958,,,
chicago-sketch_K32,speedup_E_over_RC,,192,FW,,,30.387701122702328,,,
chicago-sketch_K32,speedup_E_over_C,,192,PG,,,2.868345839257387,,,
chicago-sketch_K32,speedup_E_over_RC,,192,PG,,,3.0100070371375702,,,
