network,n_od,k_per_od,rank,representation,n_variables,objective_gap_pct,link_rel_l2,solve_seconds,kernel_seconds,R0_solve_seconds
SiouxFalls,3,32,2,R1-U,5,81.87737062637763,0.5208631670295312,0.014353104000065287,1.7859798583985675e-05,0.010606271000142442
SiouxFalls,3,32,2,R1-W,5,34.57282715613806,0.21200852984274157,0.0022834269998384116,1.704688623047068e-05,0.010606271000142442
SiouxFalls,3,32,3,R1-U,6,81.76441252554025,0.5206833662220554,0.003319432000125744,1.8283755249010047e-05,0.010606271000142442
SiouxFalls,3,32,3,R1-W,6,31.74577806210843,0.19136138434584218,0.00229813800001466,1.706313708493834e-05,0.010606271000142442
SiouxFalls,3,32,4,R1-U,7,81.74033589612898,0.5206349491587527,0.0057391509999433765,1.694327136228524e-05,0.010606271000142442
SiouxFalls,3,32,4,R1-W,7,26.959042877844894,0.16372027035701553,0.002558198000087941,1.6774579223638453e-05,0.010606271000142442
SiouxFalls,3,32,6,R1-U,9,79.50591859391642,0.5120223345667401,0.004951293999965856,1.6577848510723747e-05,0.010606271000142442
SiouxFalls,3,32,6,R1-W,9,22.648513153426467,0.1490901471617183,0.004638980999970954,1.7129467529269915e-05,0.010606271000142442
SiouxFalls,3,32,8,R1-U,11,79.09219775088485,0.5120019700589823,0.010904065999966406,1.709171618652361e-05,0.010606271000142442
SiouxFalls,3,32,8,R1-W,11,21.72732446185294,0.14039989039896036,0.005604085999948438,1.684984484864871e-05,0.010606271000142442
SiouxFalls,3,32,12,R1-U,15,75.58769961944196,0.4910252053468215,0.0038527419999354606,1.6951606445325673e-05,0.010606271000142442
SiouxFalls,3,32,12,R1-W,15,16.610055433006266,0.10501862054295967,0.005690273000027446,1.6627376708988617e-05,0.010606271000142442
SiouxFalls,3,64,1,R1-U,4,120.38955532163213,0.6742417453732693,0.004065507999939655,1.6860201171864375e-05,0.1007036450000669
SiouxFalls,3,64,1,R1-W,4,51.06345875198277,0.2955319856674066,0.0019922479998513154,1.66493608398377e-05,0.1007036450000669
SiouxFalls,3,64,2,R1-U,5,120.30608729546722,0.6739754616777694,0.008587470000065878,1.7335775512689056e-05,0.1007036450000669
SiouxFalls,3,64,2,R1-W,5,44.508425117162375,0.24293864460334913,0.0022589939999306807,1.8047569213863746e-05,0.1007036450000669
SiouxFalls,3,64,3,R1-U,6,120.25866783844138,0.6742776242477346,0.007871640999837837,1.8525814819342346e-05,0.1007036450000669
SiouxFalls,3,64,3,R1-W,6,42.14631316625793,0.22781816467448893,0.004804186000001209,1.8081952270515567e-05,0.1007036450000669
SiouxFalls,3,64,4,R1-U,7,120.11402035589666,0.6734976769015976,0.005288859000074808,1.8464027832038044e-05,0.1007036450000669
SiouxFalls,3,64,4,R1-W,7,37.26842207233986,0.20583980995074225,0.005458084999872881,1.770520825195021e-05,0.1007036450000669
SiouxFalls,3,64,6,R1-U,9,119.06896176406849,0.669608951517394,0.012195818999998664,1.843160852049719e-05,0.1007036450000669
SiouxFalls,3,64,6,R1-W,9,36.56119663433864,0.2013175608137668,0.009203689000059967,1.8284410888691482e-05,0.1007036450000669
SiouxFalls,3,64,8,R1-U,11,117.51528288946248,0.6597278820326439,0.008906547999913528,1.8756969970695758e-05,0.1007036450000669
SiouxFalls,3,64,8,R1-W,11,34.193288201695,0.18992567077810435,0.005818542000042726,1.8979046752937156e-05,0.1007036450000669
SiouxFalls,3,64,12,R1-U,15,115.61040020115928,0.6513762564700337,0.013692057000071145,1.90898786621152e-05,0.1007036450000669
SiouxFalls,3,64,12,R1-W,15,29.572233731099885,0.1720385418760532,0.015001504000110799,1.9826136962886043e-05,0.1007036450000669
ChicagoSketch,3,32,1,R1-U,4,191.0769182604402,0.5576533634657256,0.005431227999906696,1.8792628051766957e-05,0.02457062999997106
ChicagoSketch,3,32,1,R1-W,4,123.37835903912011,0.3896279953216278,0.002925717000152872,1.8034439697278692e-05,0.02457062999997106
ChicagoSketch,3,32,2,R1-U,5,190.4466488142729,0.5570385904100883,0.01238598700001603,1.9391058471679434e-05,0.02457062999997106
ChicagoSketch,3,32,2,R1-W,5,91.32075915011423,0.31403224888909154,0.003144644000030894,1.9313891357397583e-05,0.02457062999997106
ChicagoSketch,3,32,3,R1-U,6,189.9829765697067,0.5566103011354769,0.005464124000127413,1.8962052734383672e-05,0.02457062999997106
ChicagoSketch,3,32,3,R1-W,6,60.39998955150094,0.16974305740716084,0.0037004780001552717,1.9316575683603343e-05,0.02457062999997106
ChicagoSketch,3,32,4,R1-U,7,189.75083820207766,0.5564196776335794,0.0041946839999127405,2.0284538330084256e-05,0.02457062999997106
ChicagoSketch,3,32,4,R1-W,7,57.509970453435706,0.1742897568513323,0.004017587999896932,2.053287622072464e-05,0.02457062999997106
ChicagoSketch,3,32,6,R1-U,9,189.1037353830883,0.5549953215854145,0.014734878000126628,2.048507006835454e-05,0.02457062999997106
ChicagoSketch,3,32,6,R1-W,9,37.63935658024986,0.11425127180118921,0.004943185999991329,2.0288272705060173e-05,0.02457062999997106
ChicagoSketch,3,32,8,R1-U,11,188.22738514322162,0.5555428349737604,0.01335417499990399,2.0508542480424108e-05,0.02457062999997106
ChicagoSketch,3,32,8,R1-W,11,24.744707790680632,0.0756730858188463,0.0050862709999819344,2.042780151367829e-05,0.02457062999997106
ChicagoSketch,3,32,12,R1-U,15,167.99327118872424,0.5180296995307542,0.0075938059999316465,2.102632348632838e-05,0.02457062999997106
ChicagoSketch,3,32,12,R1-W,15,18.10579934024703,0.05551742122568141,0.006738591999919663,2.1007431884767502e-05,0.02457062999997106
